reporter,flow,hts,year,classification_code,trade_system,world_value_usd,partner_sum_usd,positive_origin_count,hhi_value_0_1,leading_origin,leading_origin_iso,leading_origin_value_usd,leading_origin_share,source,retrieved_at,data_status
China,imports,2846,1993,H0,Special,1165292.0,1165292.0,14,0.3664293311,Japan,JPN,673951.0,0.5783537517,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,1994,H0,Special,1283857.0,1283857.0,16,0.716895347,Japan,JPN,1083249.0,0.8437458377,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,1995,H0,Special,1831275.0,1831275.0,15,0.7202840658,Japan,JPN,1549101.0,0.8459139124,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,1996,H1,Special,3036781.0,3036781.0,13,0.438031269,Japan,JPN,1837431.0,0.6050587777,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,1997,H1,Special,4747079.0,4747079.0,12,0.4346323949,Japan,JPN,3025344.0,0.6373064362,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,1998,H1,Special,8512481.0,8512481.0,15,0.2631324942,Japan,JPN,3572049.0,0.4196249014,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,1999,H1,Special,12989816.0,12989816.0,15,0.3714932667,Japan,JPN,6549288.0,0.5041863565,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2000,H1,General,10991816.0,10991816.0,15,0.4981093696,Japan,JPN,7628052.0,0.6939755906,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2001,H1,General,9223062.0,9223062.0,21,0.3853868627,Japan,JPN,5486601.0,0.5948784688,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2002,H2,General,11070721.0,11070721.0,17,0.4553883038,Japan,JPN,7190650.0,0.6495195751,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2003,H2,General,17149261.0,17149261.0,19,0.472942842,Japan,JPN,11446367.0,0.6674554081,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2004,H2,General,29226114.0,29226114.0,18,0.4255816561,Japan,JPN,18452385.0,0.6313663527,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2005,H2,General,32463864.0,32463864.0,19,0.3523274453,Japan,JPN,18043604.0,0.555805803,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2006,H2,General,47587132.0,47587132.0,20,0.2986102917,Japan,JPN,23809418.0,0.5003331153,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2007,H3,General,63157299.0,63157299.0,19,0.3397242514,China,CHN,29709203.0,0.4704001512,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2008,H3,General,23513721.0,23513721.0,25,0.2807421243,Japan,JPN,11488866.0,0.4886026333,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2009,H3,General,35455741.0,35455741.0,23,0.323539993,China,CHN,18920008.0,0.5336232572,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2010,H3,General,36666449.0,36666449.0,23,0.2395831438,China,CHN,15323246.0,0.41790919,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2011,H3,General,65982260.0,65982260.0,23,0.4652715267,China,CHN,43906530.0,0.6654293139,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2012,H4,General,46614976.0,46614976.0,23,0.1816524291,China,CHN,12655134.0,0.271482152,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2013,H4,General,156947956.0,156947956.0,26,0.6268308712,China,CHN,123358928.0,0.785986203,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2014,H4,General,62066345.0,62066345.0,22,0.202802149,Malaysia,MYS,23841393.0,0.3841275493,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2015,H4,General,91316697.0,91316697.0,27,0.2967982226,Malaysia,MYS,45821426.0,0.5017858454,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2016,H4,General,95597074.0,95597074.0,26,0.4797514145,Malaysia,MYS,65404534.0,0.6841687853,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2017,H5,General,174384399.0,174384399.0,29,0.6400872631,Malaysia,MYS,138691108.0,0.7953183243,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2018,H5,General,203769793.0,203769793.0,24,0.2951547846,Malaysia,MYS,81628677.0,0.4005926286,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2019,H5,General,272219363.0,272219363.0,30,0.3956931005,Myanmar,MMR,152783529.0,0.5612515117,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2020,H5,General,503272416.0,503272416.0,27,0.6077830272,Myanmar,MMR,387673406.0,0.7703052933,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2021,H5,General,1068168392.0,1068168392.0,27,0.5979381705,Myanmar,MMR,811631627.0,0.7598349034,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2022,H6,General,1063610537.0,1063610537.0,26,0.3989930299,Myanmar,MMR,604299319.0,0.5681584546,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2023,H6,General,1881334377.0,1881334377.0,32,0.6044325133,Myanmar,MMR,1441901598.0,0.7664249458,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
China,imports,2846,2024,H6,General,1386613152.0,1386613152.0,33,0.4059395639,Myanmar,MMR,817835388.0,0.5898078976,UN Comtrade,2026-07-10,reported_all_origins_reconciled_to_world
